user_code,study_frequency,main_study_purpose,usual_group_size,noise_tolerance,crowd_tolerance,wifi_importance,outlet_importance,table_capacity_importance,avg_session_spending,travel_distance_tolerance,preferred_study_time,studies_on_sunday
u1,4,Solo study,1,2,2,4,5,2,"50,000",3,Afternoon ,Sometimes 
u2,1,Solo study,1,1,1,5,5,1,0,1,No preference,Yes
u3,4,Group assignment / discussion,3-4,3,3,4,4,4,"75,000",3,Afternoon ,No
u4,2,Exam preparation,3-4,3,4,5,3,4,"50,000",Distance does not matter,Afternoon,Yes
u5,5,Casual study,1,2,2,3,5,1,"100,000",3,No preference,No
u6,3,Group assignment,3-4,4,4,5,3,5,"25,000",3,No preference,Sometimes
u7,4,Coding/Laptop Work,2,1,2,5,5,5,>100000,7,No preference,Yes
u8,5,Group Assignment / discussion ,5-6,3,3,3,3,4,"100,000",3,Afternoon ,Yes
u9,2,Solo study ,1,1,1,3,4,5,0,1,Morning,Yes
u10,5,Coding / laptop work,1,1,1,5,5,1,"50,000",Distance does not matter,No preference ,Yes
u11,3,Casual study,1,3,1,2,1,4,>100000,Distance does not matter,Morning,Sometimes
u12,4,Coding / laptop work,1,2,2,5,5,2,"75,000",3,Afternoon,Yes
u13,5,Group assignment / discussion,5-6,4,4,3,3,5,"75,000",7,Afternoon,No
u14,3,Casual study,2,4,4,2,2,2,"50,000",3,Evening,Sometimes
u15,4,Coding / laptop work,2,2,2,5,5,3,>100000,Distance does not matter,No preference,Yes